,count,mean,std,min,25%,50%,75%,max
udi,10000.0,5000.5,2886.8956799071675,1.0,2500.75,5000.5,7500.25,10000.0
air_temperature_k,10000.0,300.00493,2.0002586829157516,295.3,298.3,300.1,301.5,304.5
process_temperature_k,10000.0,310.00555999999995,1.4837342191657208,305.7,308.8,310.1,311.1,313.8
rotational_speed_rpm,10000.0,1538.7761,179.2840959134266,1168.0,1423.0,1503.0,1612.0,2886.0
torque_nm,10000.0,39.986909999999995,9.968933725121337,3.8,33.2,40.1,46.8,76.6
tool_wear_min,10000.0,107.951,63.65414663663636,0.0,53.0,108.0,162.0,253.0
machine_failure,10000.0,0.0339,0.18098084265065362,0.0,0.0,0.0,0.0,1.0
twf,10000.0,0.0046,0.06767051004531426,0.0,0.0,0.0,0.0,1.0
hdf,10000.0,0.0115,0.10662498247919606,0.0,0.0,0.0,0.0,1.0
pwf,10000.0,0.0095,0.09700871645943425,0.0,0.0,0.0,0.0,1.0
osf,10000.0,0.0098,0.09851360562404211,0.0,0.0,0.0,0.0,1.0
rnf,10000.0,0.0019,0.043549737748530666,0.0,0.0,0.0,0.0,1.0
